Title;Type;Issn
Chemistry and Biology;journal;ISSN 10745521
IEEE Journal of Solid-State Circuits;journal;ISSN 00189200
Geology;journal;ISSN 00917613
Journal of Economic Growth;journal;ISSN 15737020, 13814338
Astrophysical Journal;journal;ISSN 15384357, 0004637X
Transportation Science;journal;ISSN 15265447, 00411655
Advances in Mathematics;journal;ISSN 10902082, 00018708
Transactions of the Institute of British Geographers;journal;ISSN 00202754
Advances in Ecological Research;book serie;ISSN 00652504
Journal of Differential Geometry;journal;ISSN 0022040X
Journal of Applied Ecology;journal;ISSN 13652664, 00218901
Journal of Cardiovascular Magnetic Resonance;journal;ISSN 1532429X, 10976647
Journal of Financial Markets;journal;ISSN 13864181
Resuscitation;journal;ISSN 03009572
Population Health Metrics;journal;ISSN 14787954
Journals of the Atmospheric Sciences;journal;ISSN 00224928, 15200469
Pediatrics;journal;ISSN 00314005
Molecular Cancer Therapeutics;journal;ISSN 15357163
Global Biogeochemical Cycles;journal;ISSN 08866236
Genome Biology and Evolution;journal;ISSN 17596653
Bulletin of the American Mathematical Society;journal;ISSN 10889485, 02730979
Precambrian Research;journal;ISSN 03019268
Molecular and Cellular Proteomics;journal;ISSN 15359484, 15359476
Atmospheric Chemistry and Physics;journal;ISSN 16807324, 16807316
Arthritis and Rheumatism;journal;ISSN 00043591, 15290131
Wiley Interdisciplinary Reviews: Developmental Biology;journal;ISSN 17597692, 17597684
European Respiratory Journal;journal;ISSN 13993003, 09031936
"Evolution; international journal of organic evolution";journal;ISSN 00143820
Neuro-Oncology;journal;ISSN 15228517
Journal of Research in Crime and Delinquency;journal;ISSN 00224278
Quarterly Review of Biology;journal;ISSN 15397718, 00335770
Trends in Parasitology;journal;ISSN 14714922
Physiology;journal;ISSN 15489213, 15489221
Cancer;journal;ISSN 10970142, 0008543X
Organic Letters;journal;ISSN 15237060, 15237052
Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics;journal;ISSN 03702693
Kidney International;journal;ISSN 00852538, 15231755
IEEE Transactions on Neural Networks and Learning Systems;journal;ISSN 2162237X
Journal des Mathematiques Pures et Appliquees;journal;ISSN 00217824
Chest;journal;ISSN 00123692
Human Brain Mapping;journal;ISSN 10659471, 10970193
Monthly Weather Review;journal;ISSN 15200493, 00270644
American Heart Journal;journal;ISSN 10976744, 00028703
European Journal of Cancer;journal;ISSN 09598049
Journal of Biological Chemistry;journal;ISSN 1083351X, 00219258
Journal of Teacher Education;journal;ISSN 00224871
Computers and Education;journal;ISSN 03601315
Molecular Plant;journal;ISSN 17529867, 16742052
Nature Reviews Cardiology;journal;ISSN 17595002, 17595010
Current Opinion in Virology;journal;ISSN 18796257
JAMA Pediatrics;journal;ISSN 21686211, 21686203
Antioxidants and Redox Signaling;journal;ISSN 15230864
IEEE Communications Magazine;journal;ISSN 01636804
Breast Cancer Research;journal;ISSN 14655411, 1465542X
Supply Chain Management;journal;ISSN 13598546
Current Opinion in Biotechnology;journal;ISSN 09581669
Renewable and Sustainable Energy Reviews;journal;ISSN 13640321
Combustion and Flame;journal;ISSN 00102180
Child Development;journal;ISSN 14678624, 00093920
AIDS;journal;ISSN 02699370
Mathematische Annalen;journal;ISSN 00255831, 14321807
Clinical Psychological Science;journal;ISSN 21677034, 21677026
BioEssays;journal;ISSN 02659247, 15211878
Physics of the Dark Universe;journal;ISSN 22126864
Frontiers in Evolutionary Neuroscience;journal;ISSN 1663070X
Acta Crystallographica Section D: Biological Crystallography;journal;ISSN 13990047, 09074449
Educational Researcher;journal;ISSN 0013189X
Medicinal Research Reviews;journal;ISSN 01986325, 10981128
Space Science Reviews;journal;ISSN 15729672, 00386308
Educational Evaluation and Policy Analysis;journal;ISSN 01623737
Annual Review of Analytical Chemistry;book serie;ISSN 19361327, 19361335
Journal of Interactive Marketing;journal;ISSN 15206653, 10949968
Journal of Consulting and Clinical Psychology;journal;ISSN 0022006X
European Journal of Epidemiology;journal;ISSN 15737284, 03932990
Astronomical Journal;journal;ISSN 15383881, 00046256
Paleoceanography;journal;ISSN 08838305
Proceedings of the IEEE International Conference on Computer Vision;conference and proceeding;-
The Philosophical Review;journal;ISSN 00318108
Functional Ecology;journal;ISSN 02698463, 13652435
Journal of General Physiology;journal;ISSN 00221295
Journal of Service Research;journal;ISSN 10946705
Translational Psychiatry;journal;ISSN 21583188
Allergy: European Journal of Allergy and Clinical Immunology;journal;ISSN 01054538, 13989995
American Journal of Epidemiology;journal;ISSN 14766256, 00029262
Journal of Child Psychology and Psychiatry and Allied Disciplines;journal;ISSN 14697610, 00219630
Biochimica et Biophysica Acta - Molecular Cell Research;journal;ISSN 01674889
Journal of Management Information Systems;journal;ISSN 07421222
Progress in Nuclear Magnetic Resonance Spectroscopy;journal;ISSN 00796565
Fungal Diversity;journal;ISSN 15602745
Memoirs of the American Mathematical Society;journal;ISSN 00659266
Energy Economics;journal;ISSN 18736181, 01409883
Catalysis Reviews - Science and Engineering;journal;ISSN 01614940
Emerging Infectious Diseases;journal;ISSN 10806059, 10806040
Finance and Stochastics;journal;ISSN 09492984, 14321122
Cytokine and Growth Factor Reviews;journal;ISSN 13596101
Cement and Concrete Composites;journal;ISSN 09589465
Geochimica et Cosmochimica Acta;journal;ISSN 0046564X, 00167037
Haematologica;journal;ISSN 03906078, 15928721
Pain;journal;ISSN 03043959
IEEE Transactions on Power Electronics;journal;ISSN 08858993
Journal of Cerebral Blood Flow and Metabolism;journal;ISSN 0271678X
International Journal of Research in Marketing;journal;ISSN 01678116
Journal of Molecular Biology;journal;ISSN 00222836
Environmental Microbiology;journal;ISSN 14622920, 14622912
Nutrition Reviews;journal;ISSN 00296643
National health statistics reports;journal;ISSN 21648344
Applied Energy;journal;ISSN 03062619
Journal of Financial and Quantitative Analysis;journal;ISSN 00221090
Journal of Petrology;journal;ISSN 14602415, 00223530
IEEE Transactions on Control Systems Technology;journal;ISSN 10636536
Plant, Cell and Environment;journal;ISSN 13653040, 01407791
Traffic;journal;ISSN 16000854, 13989219
Epidemiology;journal;ISSN 15315487, 10443983
Molecular Microbiology;journal;ISSN 0950382X, 13652958
Kidney International Supplements;journal;ISSN 21571724, 21571716
Current Opinion in Solid State and Materials Science;journal;ISSN 13590286
Journal of Consumer Psychology;journal;ISSN 15327663, 10577408
IEEE Transactions on Industrial Informatics;journal;ISSN 15513203
SIAM Journal on Numerical Analysis;journal;ISSN 10957170, 00361429
Progress in Photovoltaics: Research and Applications;journal;ISSN 10627995
Journal of Statistical Software;journal;ISSN 15487660
Nanoscale;journal;ISSN 20403364
British Journal of Surgery;journal;ISSN 00071323, 13652168
Foundations and Trends in Communications and Information Theory;journal;ISSN 15672328, 15672190
Compositio Mathematica;journal;ISSN 0010437X, 15705846
World Politics;journal;ISSN 00438871, 10863338
Geotextiles and Geomembranes;journal;ISSN 02661144
Computer Methods in Applied Mechanics and Engineering;journal;ISSN 00457825
Persoonia;journal;ISSN 00315850
Journal of Algebraic Geometry;journal;ISSN 10563911, 15347486
Proceedings - Annual IEEE Symposium on Foundations of Computer Science, FOCS;conference and proceeding;ISSN 02725428, 2725428
Bulletin of the American Museum of Natural History;journal;ISSN 00030090
Educational Administration Quarterly;journal;ISSN 0013161X
Journal of Clinical Endocrinology and Metabolism;journal;ISSN 0021972X, 19457197
British Journal of Cancer;journal;ISSN 00070920, 15321827
Journal of Bone and Joint Surgery - Series A;journal;ISSN 15351386, 00219355
Journal of Chemical Theory and Computation;journal;ISSN 15499618, 15499626
Human Genetics;journal;ISSN 14321203, 03406717
Quaternary Science Reviews;journal;ISSN 02773791
Progress in Particle and Nuclear Physics;journal;ISSN 01466410
Publications of the Astronomical Society of the Pacific;journal;ISSN 15383873, 00046280
Biotechnology Advances;journal;ISSN 07349750
Earthquake Engineering and Structural Dynamics;journal;ISSN 10969845, 00988847
Lithos;journal;ISSN 00244937
Clinical Epidemiology;book serie;ISSN 11791349
IEEE Journal on Selected Areas in Communications;journal;ISSN 07338716
Journal of Environmental Economics and Management;journal;ISSN 10960449, 00950696
Genome Medicine;journal;ISSN 1756994X
Developmental Science;journal;ISSN 14677687, 1363755X
Journal of Neurology, Neurosurgery and Psychiatry;journal;ISSN 1468330X, 00223050
SIAM Review;journal;ISSN 10957200, 00361445
Journal of Economic Geography;journal;ISSN 14682710, 14682702
Basic Research in Cardiology;journal;ISSN 03008428, 14351803
American Economic Journal: Microeconomics;journal;ISSN 19457685, 19457669
Probability Surveys;journal;ISSN 15495787
Climate of the Past;journal;ISSN 18149332, 18149324
Obstetrics and Gynecology;journal;ISSN 00297844
Cardiovascular Research;journal;ISSN 00086363
Probability Theory and Related Fields;journal;ISSN 01788051, 14322064
IEEE Transactions on Cybernetics;journal;ISSN 21682267
Cellular Microbiology;journal;ISSN 14625814, 14625822
Advances in Organometallic Chemistry;book serie;ISSN 00653055
Brain, Behavior, and Immunity;journal;ISSN 08891591, 10902139
IEEE Transactions on Robotics;journal;ISSN 15523098
Journal of Computer-Mediated Communication;journal;ISSN 10836101
RNA Biology;journal;ISSN 15476286, 15558584
Neurobiology of Disease;journal;ISSN 1095953X, 09699961
American Naturalist;journal;ISSN 15375323, 00030147
Neuropsychology Review;journal;ISSN 15736660, 10407308
Stanford Law Review;journal;ISSN 00389765
ACS chemical biology;journal;ISSN 15548937, 15548929
Investigative Radiology;journal;ISSN 00209996
DNA Repair;journal;ISSN 15687864
Journal of Peace Research;journal;ISSN 00223433
Molecular Oncology;journal;ISSN 15747891
Tobacco Control;journal;ISSN 09644563, 14683318
Geoscientific Model Development;journal;ISSN 1991959X
Learning and Instruction;journal;ISSN 09594752
Wildlife Monographs;journal;ISSN 00840173
Circulation: Arrhythmia and Electrophysiology;journal;ISSN 19413084, 19413149
Psychological Medicine;journal;ISSN 00332917, 14698978
Archives of Computational Methods in Engineering;journal;ISSN 11343060
Blood Reviews;journal;ISSN 0268960X
Journal of Development of Economics;journal;ISSN 03043878
Journal of Molecular Cell Biology;journal;ISSN 16742788, 17594685
Geotechnique;journal;ISSN 00168505
Alimentary Pharmacology and Therapeutics;journal;ISSN 02692813
Journal of Educational Psychology;journal;ISSN 00220663
Progress in Surface Science;journal;ISSN 00796816
Journal of Controlled Release;journal;ISSN 01683659
Brookings Papers on Economic Activity;journal;ISSN 00072303, 15334465
Bulletin of the World Health Organization;journal;ISSN 15640604, 00429686
Review of Environmental Economics and Policy;journal;ISSN 17506816
Frontiers in Immunology;journal;ISSN 16643224
Journal of Differential Equations;journal;ISSN 00220396, 10902732
Journal of the American Society of Echocardiography;journal;ISSN 08947317
Journal of Catalysis;journal;ISSN 10902694, 00219517
Journal of Biogeography;journal;ISSN 13652699, 03050270
Monthly Notices of the Royal Astronomical Society;journal;ISSN 00358711, 13652966
American Journal of Ophthalmology;journal;ISSN 00029394
IEEE Wireless Communications;journal;ISSN 15361284
Modern Pathology;journal;ISSN 08933952, 15300285
Biometrika;journal;ISSN 00063444, 14643510
Cancer and Metastasis Reviews;journal;ISSN 01677659, 15737233
Journal of Experimental Botany;journal;ISSN 14602431, 00220957
Proceedings of the Combustion Institute;journal;ISSN 15407489
Handbook of Economic Growth;book serie;ISSN 15740684
American Journal of Transplantation;journal;ISSN 16006143, 16006135
European Journal of Political Research;journal;ISSN 14756765, 03044130
Emotion;journal;ISSN 15283542
Mathematical Programming, Series B;journal;ISSN 00255610
Ecological Applications;journal;ISSN 10510761
FASEB Journal;journal;ISSN 15306860, 08926638
Communications in Partial Differential Equations;journal;ISSN 15324133, 03605302
Journal of Bone and Mineral Research;journal;ISSN 08840431
Water Research;journal;ISSN 00431354
Chemical Communications;journal;ISSN 13597345
Cognition;journal;ISSN 00100277
Comparative Political Studies;journal;ISSN 00104140
Leadership Quarterly;journal;ISSN 10489843
Journal of Materials Chemistry A;journal;ISSN 20507488
Journal of Medical Screening;journal;ISSN 09691413
The Lancet Haematology;journal;ISSN 23523026
American Journal of Preventive Medicine;journal;ISSN 07493797
Journal of Human Resources;journal;ISSN 0022166X, 15488004
Child Development Perspectives;journal;ISSN 17508606, 17508592
EvoDevo;journal;ISSN 20419139
Heart Rhythm;journal;ISSN 15475271
Journal of Politics;journal;ISSN 14682508, 00223816
Molecular Autism;journal;ISSN 20402392
Annual review of food science and technology;journal;ISSN 19411421, 19411413
International Journal of Obesity;journal;ISSN 03070565, 14765497
International Journal of Production Economics;journal;ISSN 09255273
Frontiers in cellular and infection microbiology;journal;ISSN 22352988
International Journal of Machine Tools and Manufacture;journal;ISSN 08906955
Clinical Gastroenterology and Hepatology;journal;ISSN 15423565, 15427714
Earth System Dynamics;journal;ISSN 21904979, 21904987
Psychoneuroendocrinology;journal;ISSN 03064530
IEEE Journal of Emerging and Selected Topics in Power Electronics;journal;ISSN 21686777, 21686785
Environmental Research Letters;journal;ISSN 17489326, 17489318
Movement Disorders;journal;ISSN 15318257, 08853185
Strategic Organization;journal;ISSN 1741315X, 14761270
Advanced Synthesis and Catalysis;journal;ISSN 16154150
Diabetes, Obesity and Metabolism;journal;ISSN 14628902, 14631326
Nature Reviews Rheumatology;journal;ISSN 17594804, 17594790
SOSP 2013 - Proceedings of the 24th ACM Symposium on Operating Systems Principles;conference and proceeding;-
Dialogues in Clinical Neuroscience;journal;ISSN 12948322
IEEE Transactions on Image Processing;journal;ISSN 10577149
Personality and Social Psychology Bulletin;journal;ISSN 01461672
Biochimica et Biophysica Acta - Molecular Basis of Disease;journal;ISSN 09254439
Journal of Cognitive Neuroscience;journal;ISSN 15308898, 0898929X
Theranostics;journal;ISSN 18387640
Diversity and Distributions;journal;ISSN 13669516, 14724642
Scientific Studies of Reading;journal;ISSN 10888438
Seminars in Liver Disease;journal;ISSN 10988971, 02728087
Annals of Applied Probability;journal;ISSN 10505164
Health Psychology Review;journal;ISSN 17437199, 17437202
Environmental International;journal;ISSN 01604120
Journal of Topology;journal;ISSN 17538416
Journal of Psychiatry and Neuroscience;journal;ISSN 14882434, 11804882
Journals of Gerontology - Series A Biological Sciences and Medical Sciences;journal;ISSN 10795006
British Journal of Psychiatry;journal;ISSN 00071250, 14721465
